id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
32,Illinois,Chicago,2,Wed 3/30,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,40.03,60.85,92,22,S,19.93,0,994,100,1648659600,-18000
33,Illinois,Chicago,3,Thu 3/31,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,34.18,45.16,89,20,SW,4.17,2.96,998,100,1648746000,-18000
34,Illinois,Chicago,4,Fri 4/1,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,30.18,46.78,45,11,W,0,0,1018,6,1648832400,-18000
35,Illinois,Chicago,5,Sat 4/2,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,35.98,46.26,92,16,NW,4.62,0,1010,100,1648918800,-18000
36,Illinois,Lincoln,1,Tue 3/29,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,32.54,49.98,53,20,E,0,0,1016,100,1648576800,-18000
37,Illinois,Lincoln,2,Wed 3/30,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,47.57,62.19,88,28,SE,18.77,0,992,100,1648663200,-18000
38,Illinois,Lincoln,3,Thu 3/31,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,35.26,41.43,83,19,SW,0.78,1.14,1002,99,1648749600,-18000
39,Illinois,Lincoln,4,Fri 4/1,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,29.62,49.26,46,11,W,0,0,1019,8,1648836000,-18000
40,Illinois,Lincoln,5,Sat 4/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,38.43,53.26,88,21,NW,0.54,0,1012,100,1648922400,-18000
41,Indiana,Indianapolis,1,Tue 3/29,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,31.91,41.2,40,15,E,0,0.64,1023,100,1648573200,-14400
42,Indiana,Indianapolis,2,Wed 3/30,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,42.46,68.97,63,27,S,18.94,0,1001,100,1648659600,-14400
43,Indiana,Indianapolis,3,Thu 3/31,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,39.51,54.46,69,21,S,7.94,0,1001,100,1648746000,-14400
44,Indiana,Indianapolis,4,Fri 4/1,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,32.99,48.78,42,12,W,0,0,1018,64,1648832400,-14400
45,Indiana,Indianapolis,5,Sat 4/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.34,52.5,54,17,W,1.06,0,1013,99,1648918800,-14400
46,Indiana,Northern Indiana,1,Tue 3/29,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,22.35,41.59,29,18,E,0,0,1024,93,1648573200,-14400
47,Indiana,Northern Indiana,2,Wed 3/30,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,37.31,66.16,75,25,S,4.74,0,999,100,1648659600,-14400
48,Indiana,Northern Indiana,3,Thu 3/31,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,33.57,54.12,81,25,S,4.45,0.82,997,100,1648746000,-14400
49,Indiana,Northern Indiana,4,Fri 4/1,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,30.65,40.98,55,16,W,0,1.52,1017,95,1648832400,-14400
50,Indiana,Northern Indiana,5,Sat 4/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,31.41,50.32,55,19,NW,3.8,0,1012,90,1648918800,-14400
51,Iowa,Davenport/Quad Cities,1,Tue 3/29,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,30.22,42.75,57,19,E,0.68,0,1015,93,1648576800,-18000
52,Iowa,Davenport/Quad Cities,2,Wed 3/30,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,38.7,60.13,94,22,S,21,0,989,100,1648663200,-18000
53,Iowa,Davenport/Quad Cities,3,Thu 3/31,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,32.83,37.62,73,19,SW,0.15,1.86,1001,100,1648749600,-18000
54,Iowa,Davenport/Quad Cities,4,Fri 4/1,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,28.24,47.98,49,10,W,0,0,1018,15,1648836000,-18000
55,Iowa,Davenport/Quad Cities,5,Sat 4/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.6,49.24,70,21,NW,2.6,0,1013,97,1648922400,-18000
56,Iowa,Des Moines,1,Tue 3/29,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,34.09,55.99,63,21,E,2.58,0,1007,100,1648576800,-18000
57,Iowa,Des Moines,2,Wed 3/30,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,34.88,60.67,82,22,S,6.23,0.53,993,100,1648663200,-18000
58,Iowa,Des Moines,3,Thu 3/31,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,31.98,43.05,64,19,NW,0.11,1.32,1006,99,1648749600,-18000
59,Iowa,Des Moines,4,Fri 4/1,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,29.52,54.73,41,12,SE,0,0,1016,33,1648836000,-18000
60,Iowa,Des Moines,5,Sat 4/2,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,42.6,58.1,42,18,NW,5.05,0,1017,40,1648922400,-18000
61,Kansas,Dodge City,1,Tue 3/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,51.85,78.04,20,33,S,0,0,992,6,1648576800,-18000
62,Kansas,Dodge City,2,Wed 3/30,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,38.8,54.99,33,31,NW,1.67,0.35,1003,51,1648663200,-18000
63,Kansas,Dodge City,3,Thu 3/31,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,35.22,59.74,25,16,NW,0,0,1011,43,1648749600,-18000
64,Kansas,Dodge City,4,Fri 4/1,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,44.6,71.53,26,28,S,3.5,0,1006,100,1648836000,-18000
65,Kansas,Dodge City,5,Sat 4/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,37.27,66.2,25,17,SE,0,0,1017,0,1648922400,-18000
66,Kansas,Goodland,1,Tue 3/29,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,35.44,65.44,39,33,NW,0.12,0,990,50,1648576800,-21600
67,Kansas,Goodland,2,Wed 3/30,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,32.77,47.93,30,32,NW,0.11,0,1006,58,1648663200,-21600
68,Kansas,Goodland,3,Thu 3/31,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,29.98,59.95,22,14,NW,0,0,1009,5,1648749600,-21600
69,Kansas,Goodland,4,Fri 4/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,41.25,54.77,40,25,NW,0,0,1008,85,1648836000,-21600
70,Kansas,Goodland,5,Sat 4/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,36.97,68.23,28,22,S,0,0,1014,5,1648922400,-21600
71,Kansas,Topeka,1,Tue 3/29,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,46.26,79.43,56,27,S,3.64,0,998,100,1648576800,-18000
72,Kansas,Topeka,2,Wed 3/30,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,40.57,65.79,88,22,NW,4.75,0,998,100,1648663200,-18000
73,Kansas,Topeka,3,Thu 3/31,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,35.58,51.13,46,18,NW,0,0.18,1009,74,1648749600,-18000
74,Kansas,Topeka,4,Fri 4/1,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.61,64.4,41,19,SE,0.21,0,1014,5,1648836000,-18000
75,Kansas,Topeka,5,Sat 4/2,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,40.37,62.8,39,21,SW,3.05,0,1019,2,1648922400,-18000
76,Kansas,Wichita,1,Tue 3/29,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,57.51,80.64,44,25,SE,0.92,0,997,95,1648576800,-18000
77,Kansas,Wichita,2,Wed 3/30,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,39.92,65.21,53,24,NW,1.08,0,999,100,1648663200,-18000
78,Kansas,Wichita,3,Thu 3/31,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,36.77,57.63,33,16,NW,0,0,1011,62,1648749600,-18000
79,Kansas,Wichita,4,Fri 4/1,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,41.29,67.42,39,18,S,0.37,0,1012,72,1648836000,-18000
80,Kansas,Wichita,5,Sat 4/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,41.09,67.77,25,13,NW,0,0,1019,0,1648922400,-18000
81,Kentucky,Jackson,1,Tue 3/29,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,29.43,51.4,32,8,NE,0,0,1023,100,1648573200,-14400
82,Kentucky,Jackson,2,Wed 3/30,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,43.36,71.28,39,20,S,0,0,1011,97,1648659600,-14400
83,Kentucky,Jackson,3,Thu 3/31,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,46.69,64.89,85,19,SW,6.08,0,1004,49,1648746000,-14400
84,Kentucky,Jackson,4,Fri 4/1,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.94,51.3,39,14,W,0.8,0,1018,40,1648832400,-14400
85,Kentucky,Jackson,5,Sat 4/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.09,61.93,37,12,W,0.19,0,1015,99,1648918800,-14400
86,Kentucky,Louisville,1,Tue 3/29,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,34.54,49.23,48,12,E,0,0,1022,100,1648573200,-14400
87,Kentucky,Louisville,2,Wed 3/30,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,46.69,72.3,56,26,SE,8.14,0,1006,100,1648659600,-14400
88,Kentucky,Louisville,3,Thu 3/31,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,41.88,55.62,49,19,SW,4.34,0,1003,41,1648746000,-14400
89,Kentucky,Louisville,4,Fri 4/1,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.81,51.87,42,11,W,0,0,1019,8,1648832400,-14400
90,Kentucky,Louisville,5,Sat 4/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.85,56.93,54,15,W,0.23,0,1014,99,1648918800,-14400
91,Kentucky,Paducah,1,Tue 3/29,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,38.48,68.07,63,15,S,0.4,0,1016,100,1648573200,-18000
92,Kentucky,Paducah,2,Wed 3/30,Rain,very heavy rain,http://openweathermap.org/img/wn/10d@2x.png,55.83,70.93,69,29,SE,32.89,0,1000,100,1648659600,-18000
93,Kentucky,Paducah,3,Thu 3/31,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,41.5,53.02,56,20,SW,0.5,0,1006,42,1648746000,-18000
94,Kentucky,Paducah,4,Fri 4/1,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.54,55.67,48,7,W,0,0,1020,4,1648832400,-18000
95,Kentucky,Paducah,5,Sat 4/2,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,41.22,63.46,61,17,SW,0,0,1015,74,1648918800,-18000
96,Michigan,Detroit/Pontiac,1,Tue 3/29,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,18.01,37.63,21,11,E,0,0,1026,35,1648573200,-14400
97,Michigan,Detroit/Pontiac,2,Wed 3/30,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,29.39,58.78,87,19,SE,0.16,3.86,1004,100,1648659600,-14400
98,Michigan,Detroit/Pontiac,3,Thu 3/31,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,32.56,56.79,72,24,S,2.93,0,994,100,1648746000,-14400
99,Michigan,Detroit/Pontiac,4,Fri 4/1,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,29.77,40.44,52,16,W,0,0.12,1013,100,1648832400,-14400
100,Michigan,Detroit/Pontiac,5,Sat 4/2,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,29.84,48.49,37,10,S,3.96,0,1014,62,1648918800,-14400
101,Michigan,Gaylord,1,Tue 3/29,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,5.02,35.49,51,13,SE,0,0,1025,64,1648573200,-14400
102,Michigan,Gaylord,2,Wed 3/30,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,25.68,49.19,99,21,SE,12.32,6.15,1001,100,1648659600,-14400
103,Michigan,Gaylord,3,Thu 3/31,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,25.79,48.47,81,19,S,7.76,1.6,989,100,1648746000,-14400
104,Michigan,Gaylord,4,Fri 4/1,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,22.55,32.81,59,16,NW,0,0.7,1013,100,1648832400,-14400
105,Michigan,Gaylord,5,Sat 4/2,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,25.63,41.11,52,9,S,0,0.8,1013,84,1648918800,-14400
106,Michigan,Grand Rapids,1,Tue 3/29,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,19.4,43.39,24,15,E,0.27,0.3,1024,47,1648573200,-14400
107,Michigan,Grand Rapids,2,Wed 3/30,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,31.73,62.51,90,22,SE,5.81,0,999,100,1648659600,-14400
108,Michigan,Grand Rapids,3,Thu 3/31,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,32.23,53.73,91,24,SW,7.16,2.26,994,100,1648746000,-14400
109,Michigan,Grand Rapids,4,Fri 4/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,28.11,39.29,51,15,W,0,0,1015,85,1648832400,-14400
110,Michigan,Grand Rapids,5,Sat 4/2,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,28.94,48.99,49,12,NW,9.66,0,1012,78,1648918800,-14400
111,Michigan,Marquette,1,Tue 3/29,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,0.66,32.61,77,12,SE,0,0,1022,95,1648573200,-14400
112,Michigan,Marquette,2,Wed 3/30,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,26.89,32.14,99,14,SE,3.38,14.86,998,100,1648659600,-14400
113,Michigan,Marquette,3,Thu 3/31,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,24.73,28.67,95,21,N,0,39.08,993,100,1648746000,-14400
114,Michigan,Marquette,4,Fri 4/1,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,18.7,31.12,84,12,NW,0,1.37,1015,78,1648832400,-14400
115,Michigan,Marquette,5,Sat 4/2,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,25.45,33.31,100,9,W,0,0.81,1012,100,1648918800,-14400
116,Minnesota,Duluth,1,Tue 3/29,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,18.99,37.36,57,12,SE,0,0.91,1013,98,1648576800,-18000
117,Minnesota,Duluth,2,Wed 3/30,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,27.66,31.24,98,15,N,0,17.01,997,100,1648663200,-18000
118,Minnesota,Duluth,3,Thu 3/31,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,21.9,31.68,83,15,NW,0,0,1003,92,1648749600,-18000
119,Minnesota,Duluth,4,Fri 4/1,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,15.06,35.47,74,7,S,0,1.03,1015,27,1648836000,-18000
120,Minnesota,Duluth,5,Sat 4/2,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,27.18,35.2,74,12,W,0,0.36,1014,90,1648922400,-18000
121,Minnesota,Chanhassen/Twin Cities,1,Tue 3/29,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,30.47,39.63,46,17,SE,2.45,0,1010,99,1648576800,-18000
122,Minnesota,Chanhassen/Twin Cities,2,Wed 3/30,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,31.62,32.74,96,18,NW,14.37,14.03,994,100,1648663200,-18000
123,Minnesota,Chanhassen/Twin Cities,3,Thu 3/31,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,23.99,32.07,92,18,NW,0,2.97,1005,99,1648749600,-18000
124,Minnesota,Chanhassen/Twin Cities,4,Fri 4/1,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,14.92,34.77,96,5,S,0,0,1017,52,1648836000,-18000
125,Minnesota,Chanhassen/Twin Cities,5,Sat 4/2,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,31.93,40.3,87,11,W,0.37,0.27,1017,67,1648922400,-18000
126,Missouri,Kansas City/Pleasant Hill,1,Tue 3/29,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,44.74,74.23,67,24,S,0.26,0,1002,100,1648576800,-18000
127,Missouri,Kansas City/Pleasant Hill,2,Wed 3/30,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,41.25,63.95,84,26,S,27.18,0,994,100,1648663200,-18000
128,Missouri,Kansas City/Pleasant Hill,3,Thu 3/31,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,34.86,49.71,53,16,W,0,0,1009,100,1648749600,-18000
129,Missouri,Kansas City/Pleasant Hill,4,Fri 4/1,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,33.82,61.41,43,12,SE,0,0,1017,5,1648836000,-18000
130,Missouri,Kansas City/Pleasant Hill,5,Sat 4/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,44.78,62.38,40,20,W,2.78,0,1019,17,1648922400,-18000
131,Missouri,Springfield,1,Tue 3/29,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,44.53,71.2,66,22,S,0,0,1006,100,1648576800,-18000
132,Missouri,Springfield,2,Wed 3/30,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,40.03,63.09,85,21,SE,26.82,0,993,96,1648663200,-18000
133,Missouri,Springfield,3,Thu 3/31,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,34.54,46.4,67,17,W,0,0,1010,56,1648749600,-18000
134,Missouri,Springfield,4,Fri 4/1,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,34.7,61.23,42,10,SE,0,0,1017,31,1648836000,-18000
135,Missouri,Springfield,5,Sat 4/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,46.56,61.34,45,14,W,0,0,1019,0,1648922400,-18000
136,Missouri,St. Louis,1,Tue 3/29,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,39.99,65.05,60,18,SE,0.56,0,1012,98,1648576800,-18000
137,Missouri,St. Louis,2,Wed 3/30,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,44.91,63.9,84,24,S,14.99,0,993,100,1648663200,-18000
138,Missouri,St. Louis,3,Thu 3/31,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,38.08,43.05,64,16,W,0.41,0,1006,97,1648749600,-18000
139,Missouri,St. Louis,4,Fri 4/1,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.12,56.86,38,9,SE,0,0,1019,7,1648836000,-18000
140,Missouri,St. Louis,5,Sat 4/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,44.4,58.87,63,17,NW,0.63,0,1016,79,1648922400,-18000
141,Nebraska,Hastings,1,Tue 3/29,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.75,80.02,74,23,S,1.05,0,994,100,1648576800,-18000
142,Nebraska,Hastings,2,Wed 3/30,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,32.56,48.11,48,25,NW,0.54,0.48,1002,98,1648663200,-18000
143,Nebraska,Hastings,3,Thu 3/31,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,28.6,51.87,39,16,NW,0,1.37,1010,4,1648749600,-18000
144,Nebraska,Hastings,4,Fri 4/1,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,33.93,65.86,30,21,NW,0.87,0,1008,73,1648836000,-18000
145,Nebraska,Hastings,5,Sat 4/2,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,36.05,64.8,27,17,SE,0,0,1017,35,1648922400,-18000
146,Nebraska,North Platte,1,Tue 3/29,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,35.46,63.5,55,34,NW,0.29,0,992,97,1648576800,-18000
147,Nebraska,North Platte,2,Wed 3/30,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,31.08,40.62,42,31,NW,0.39,0.7,1006,88,1648663200,-18000
148,Nebraska,North Platte,3,Thu 3/31,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,29.98,56.23,30,16,NW,0,0.11,1009,34,1648749600,-18000
149,Nebraska,North Platte,4,Fri 4/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,38.7,53.37,41,22,NW,0,0,1008,96,1648836000,-18000
150,Nebraska,North Platte,5,Sat 4/2,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,37.24,69.37,32,17,S,0,0,1013,58,1648922400,-18000
151,Nebraska,Omaha/Valley,1,Tue 3/29,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.29,70.34,72,25,SE,0.4,0,999,100,1648576800,-18000
